id,years_experience,technical_skills,num_skills,previous_domains,preferred_role,current_salary,education_level,has_certifications,location_preference,last_job_duration,it_state
1,3.5,"React,SQL,Python,JavaScript",4,Cloud Computing,Database Administrator,98300,Bachelors,True,Hybrid,2.8,Virginia
2,4.8,"MongoDB,Linux,PyTorch,Azure,Docker,C++",6,"Database Administration,Cloud Computing",ML Engineer,135779,Bachelors,True,Remote,3.6,Texas
3,2.2,"SQL,Java,Microservices,JavaScript,AWS,Git,TensorFlow,MongoDB",8,Systems Architecture,Software Engineer,115780,Masters,True,Hybrid,3.3,New York
4,7.5,"Java,SQL,Git,MongoDB,Microservices,Go,JavaScript",7,"Network Engineering,Security",Network Administrator,151504,Bachelors,True,Remote,1.9,Georgia
5,7.4,"Azure,C++,Kubernetes,MongoDB",4,"Machine Learning,Cloud Computing,Database Administration",ML Engineer,151585,Bachelors,False,On-site,3.1,Arizona
6,6.2,"Java,Azure,Python,JavaScript,Linux,Microservices",6,"Machine Learning,Mobile Development",Data Scientist,137725,Masters,False,On-site,1.9,Georgia
7,6.3,"JavaScript,Kubernetes,Java,React,Python,REST API,AWS",7,DevOps,Software Engineer,155368,Masters,True,Remote,1.1,New York
8,6.6,"SQL,JavaScript,Docker,REST API,Microservices,Git",6,"Data Science,Web Development",Systems Engineer,142530,Bachelors,True,On-site,4.0,Virginia
9,8.0,"SQL,C++,Python,MongoDB",4,Web Development,DevOps Engineer,155334,Bachelors,True,On-site,3.4,Virginia
10,7.6,"JavaScript,Python,AWS,C++,Go",5,Machine Learning,ML Engineer,156428,Bachelors,True,Hybrid,2.3,North Carolina
11,4.9,"SQL,Kubernetes,Python,AWS",4,Cloud Computing,Network Administrator,129882,Masters,False,On-site,2.6,Arizona
12,4.8,"PyTorch,Docker,Microservices,SQL,TensorFlow,Python,Git",7,Security,Database Administrator,144635,Masters,True,Remote,3.4,Illinois
13,5.3,"C++,SQL,PyTorch,JavaScript",4,"Systems Architecture,Mobile Development,Network Engineering",Data Scientist,121959,Bachelors,True,Remote,1.4,California
14,4.8,"Linux,SQL,Git,Java,JavaScript,C++,Docker,Python",8,"Database Administration,Web Development",Full Stack Developer,130075,Masters,True,Hybrid,1.3,Florida
15,7.9,"AWS,Git,Kubernetes,JavaScript,MongoDB,REST API",6,"Network Engineering,Mobile Development,Cloud Computing",Security Analyst,145625,Masters,True,Remote,1.7,Utah
16,3.6,"Kubernetes,AWS,Azure,Linux,Docker,REST API",6,Web Development,DevOps Engineer,115940,Bachelors,True,Remote,3.0,Utah
17,7.9,"Azure,JavaScript,Java,MongoDB,Linux,TensorFlow,PyTorch,Kubernetes",8,"Network Engineering,Data Science",Data Scientist,162678,Masters,False,Hybrid,3.9,Virginia
18,6.1,"Python,REST API,Java,SQL,Docker,Git,PyTorch,Linux",8,"Security,Systems Architecture",DevOps Engineer,140242,Masters,True,On-site,2.6,Virginia
19,6.4,"Git,Linux,SQL,JavaScript,Kubernetes,Node.js",6,"DevOps,Web Development,Security",Database Administrator,137666,Masters,True,Remote,2.8,Texas
20,3.4,"Docker,REST API,Java,C++,React",5,"Cloud Computing,Systems Architecture,Mobile Development",Software Engineer,107287,Masters,True,Remote,3.3,Massachusetts
21,2.2,"SQL,Linux,Git,REST API,Go",5,Security,Systems Engineer,100046,Masters,False,On-site,2.1,Texas
22,2.9,"Python,Git,JavaScript,Java,AWS,Microservices",6,"Database Administration,DevOps,Web Development",ML Engineer,106635,Bachelors,True,Remote,3.2,Georgia
23,6.1,"Python,Java,Git,SQL,AWS,Azure,Linux,TensorFlow",8,"Machine Learning,Cloud Computing",Full Stack Developer,135959,Bachelors,True,On-site,3.1,Utah
24,4.3,"React,REST API,Python,Linux",4,"Network Engineering,Mobile Development",Systems Engineer,114446,Masters,True,Remote,3.6,California
25,7.7,"Java,REST API,Git,AWS,Node.js,MongoDB,SQL",7,"Web Development,Cloud Computing",Software Engineer,176507,Bachelors,False,Hybrid,2.8,North Carolina
26,4.2,"JavaScript,Docker,Python,PyTorch,C++,Node.js,SQL,Azure",8,Web Development,DevOps Engineer,119892,Bachelors,False,On-site,1.6,Washington
27,6.0,"Microservices,Ruby,Azure",3,"Mobile Development,Systems Architecture,Web Development",Security Analyst,122114,Bachelors,False,Remote,3.2,Arizona
28,5.8,"Git,Microservices,SQL,MongoDB,React,JavaScript",6,Network Engineering,Cloud Architect,148884,Bachelors,False,Remote,1.2,New York
29,4.3,"MongoDB,Docker,Azure,Python,TensorFlow,C++,Git,AWS",8,"Database Administration,Network Engineering,Web Development",Software Engineer,132418,Bachelors,True,On-site,3.1,Georgia
30,3.6,"Microservices,C++,Java,Kubernetes,Go,Git,React",7,Data Science,Software Engineer,114589,Masters,True,Remote,1.1,Arizona
31,5.3,"Azure,Java,Node.js,SQL,Ruby,REST API",6,Security,Full Stack Developer,126394,Bachelors,False,On-site,1.9,Oregon
32,7.0,"Go,Kubernetes,Node.js,JavaScript",4,"Data Science,Network Engineering",DevOps Engineer,128460,Bachelors,False,On-site,1.4,Oregon
33,7.9,"Azure,SQL,JavaScript,Ruby",4,Cloud Computing,Software Engineer,157487,Bachelors,True,Remote,2.8,Utah
34,6.5,"JavaScript,Azure,Git,AWS,Kubernetes",5,"Security,Network Engineering,Web Development",Security Analyst,145097,Bachelors,False,Hybrid,3.3,North Carolina
35,3.0,"MongoDB,Git,Kubernetes,AWS,Ruby",5,"Data Science,Cloud Computing",Software Engineer,103839,Bachelors,True,Remote,1.5,Texas
36,2.3,"Microservices,Python,Docker,Java,Git,AWS",6,Systems Architecture,Full Stack Developer,108368,Bachelors,True,Remote,3.9,Colorado
37,7.8,"SQL,AWS,Node.js,MongoDB,React,Git,Azure",7,Mobile Development,Software Engineer,174835,Bachelors,True,Remote,2.6,Virginia
38,6.9,"Git,AWS,PyTorch",3,"Cloud Computing,DevOps,Security",ML Engineer,145020,Masters,False,Hybrid,3.4,Georgia
39,2.0,"Node.js,Git,Linux,AWS,Microservices,SQL,Java",7,"DevOps,Data Science,Mobile Development",DevOps Engineer,104346,Bachelors,True,Hybrid,1.2,Florida
40,4.5,"Git,REST API,Linux,AWS,Microservices,SQL,JavaScript,Python",8,"Security,Cloud Computing",Full Stack Developer,125824,Bachelors,True,Hybrid,2.6,Massachusetts
41,5.0,"Kubernetes,Python,Java,REST API,TensorFlow,Git,JavaScript",7,Cloud Computing,Software Engineer,127210,Bachelors,True,Hybrid,3.1,Georgia
42,2.9,"React,AWS,Java,TensorFlow,C++,Python,SQL",7,"Data Science,Systems Architecture,Web Development",Software Engineer,106262,Masters,True,On-site,1.1,Utah
43,4.8,"Git,Java,REST API,Azure",4,DevOps,Network Administrator,124892,Masters,True,Remote,1.4,Texas
44,7.5,"SQL,JavaScript,React,Docker,Node.js,Java",6,"Security,Cloud Computing",Systems Engineer,150359,Masters,True,On-site,1.7,Colorado
45,6.7,"Python,Node.js,SQL,Java,Linux,Microservices",6,Mobile Development,Software Engineer,137681,PhD,True,Hybrid,1.0,Colorado
46,7.4,"AWS,C++,REST API,Java,React,Linux,Git,SQL",8,"Cloud Computing,Web Development,DevOps",Network Administrator,162814,Masters,True,Remote,1.4,Colorado
47,2.6,"JavaScript,Microservices,Python,Docker,MongoDB,SQL,C++,REST API",8,"Cloud Computing,Mobile Development",Data Scientist,113242,Bachelors,False,On-site,1.4,New York
48,7.2,"Azure,Node.js,PyTorch,C++",4,"DevOps,Cloud Computing,Web Development",Security Analyst,150836,Bachelors,False,Hybrid,1.9,Arizona
49,4.9,"Kubernetes,Azure,Docker,MongoDB,JavaScript",5,Network Engineering,Systems Engineer,130305,Bachelors,True,Hybrid,3.0,North Carolina
50,4.7,"Python,Node.js,JavaScript,React,Docker,Kubernetes",6,"Web Development,Cloud Computing",Security Analyst,125571,Bachelors,True,Hybrid,1.6,Massachusetts
51,4.6,"Python,Go,Java,C++,JavaScript,PyTorch,Linux",7,Data Science,DevOps Engineer,131679,Bachelors,False,Hybrid,2.7,California
52,5.6,"Docker,MongoDB,React,Linux,Microservices,SQL",6,"Cloud Computing,Mobile Development,Web Development",Software Engineer,142352,Masters,False,Hybrid,2.7,Washington
53,2.1,"Linux,SQL,AWS,Azure,REST API",5,Data Science,Full Stack Developer,105595,Masters,True,On-site,2.1,Florida
54,5.2,"MongoDB,Java,React",3,"Cloud Computing,Web Development,Security",DevOps Engineer,106958,PhD,True,Hybrid,1.5,North Carolina
55,7.0,"Git,React,Node.js,REST API,Azure,JavaScript,PyTorch",7,"Cloud Computing,Security",DevOps Engineer,149023,Masters,True,Remote,2.8,Florida
56,4.8,"Java,AWS,Go",3,"Database Administration,Cloud Computing",Network Administrator,105264,Bachelors,False,On-site,1.7,Washington
57,7.6,"Python,Git,MongoDB,C++,AWS",5,"Cloud Computing,Network Engineering",DevOps Engineer,141495,Bachelors,True,Remote,1.6,Massachusetts
